Event Date,App Apple ID,Subscription Name,Standard Subscription Duration,Promotional Offer Name,Promotional Offer ID,Subscription Offer Type,Subscription Offer Duration,Marketing Opt-In Duration,Customer Currency,Proceeds Currency,Device,Country,Subscriber ID,Subscriber ID Reset,Refund,Purchase Date,Units
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,IDR,IDR,iPhone,ID,223411322456765433,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765434,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765435,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765437,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765438,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,CR,223411322456765439,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,THB,THB,iPhone,TH,223411322456765441,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TRY,TRY,iPhone,TR,223411322456765442,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TZS,TZS,iPhone,TZ,223411322456765443,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,QAR,QAR,iPhone,QA,223411322456765445,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765448,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,AED,AED,iPhone,AE,223411322456765449,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765453,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,SAR,SAR,iPhone,SA,223411322456765454,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TRY,TRY,iPhone,TR,223411322456765455,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,EUR,EUR,iPhone,IT,223411322456765456,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TZS,TZS,iPhone,TZ,223411322456765457,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765458,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TZS,TZS,iPhone,TZ,223411322456765459,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765460,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TRY,TRY,iPhone,TR,223411322456765461,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765462,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPad,IN,223411322456765463,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,SAR,SAR,iPhone,SA,223411322456765466,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765468,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765469,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,SAR,SAR,iPhone,SA,223411322456765472,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,MN,223411322456765473,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,CHF,CHF,iPhone,CH,223411322456765474,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,HKD,HKD,iPhone,HK,223411322456765475,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,PKR,PKR,iPhone,PK,223411322456765477,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765478,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,PKR,PKR,iPhone,PK,223411322456765479,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,PKR,PKR,iPhone,PK,223411322456765480,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,VND,VND,iPhone,VN,223411322456765482,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TRY,TRY,iPhone,TR,223411322456765483,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765484,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765485,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765487,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,CAD,CAD,iPhone,CA,223411322456765488,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,TRY,TRY,iPhone,TR,223411322456765489,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,CAD,CAD,iPhone,CA,223411322456765490,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,AUD,AUD,iPhone,AU,223411322456765491,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765492,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765495,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,EUR,EUR,iPhone,MT,223411322456765496,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765497,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765498,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765499,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765500,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,KW,223411322456765502,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765503,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,EUR,EUR,iPhone,DE,223411322456765504,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,MYR,MYR,iPhone,MY,223411322456765505,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,RUB,RUB,iPhone,RU,223411322456765506,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,JO,223411322456765507,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765508,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,BRL,BRL,iPhone,BR,223411322456765510,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,JPY,JPY,iPhone,JP,223411322456765511,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,NGN,NGN,iPhone,NG,223411322456765512,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,PKR,PKR,iPhone,PK,223411322456765513,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,SEK,SEK,iPhone,SE,223411322456765514,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,EUR,EUR,iPhone,IT,223411322456765515,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765516,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,AED,AED,iPhone,AE,223411322456765517,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765518,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,PKR,PKR,iPhone,PK,223411322456765519,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,UG,223411322456765520,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765523,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,MYR,MYR,iPhone,MY,223411322456765524,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,VND,VND,iPhone,VN,223411322456765525,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,THB,THB,iPhone,TH,223411322456765526,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765528,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,IDR,IDR,iPhone,ID,223411322456765532,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765533,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,GBP,GBP,iPhone,GB,223411322456765537,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,BRL,BRL,iPhone,BR,223411322456765539,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,QAR,QAR,iPhone,QA,223411322456765540,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,MYR,MYR,iPhone,MY,223411322456765541,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765542,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,INR,INR,iPhone,IN,223411322456765543,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,US,223411322456765545,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,MXN,MXN,iPhone,MX,223411322456765546,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,EUR,EUR,iPhone,BE,223411322456765547,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,VND,VND,iPhone,VN,223411322456765548,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,USD,USD,iPhone,KH,223411322456765549,,,,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,,,Free Trial,7 Days,,IDR,IDR,iPhone,ID,223411322456765550,Yes,,,1
