Event Date,App Apple ID,Subscription Name,Standard Subscription Duration,Promotional Offer Name,Promotional Offer ID,Subscription Offer Type,Subscription Offer Duration,Marketing Opt-In Duration,Customer Currency,Proceeds Currency,Device,Country,Subscriber ID,Subscriber ID Reset,Refund,Purchase Date,Units
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765433,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765532,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765550,Yes,NULL,NULL,1
2019-07-16,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765833,NULL,NULL,NULL,1
2019-07-16,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765986,NULL,NULL,NULL,1
2019-07-16,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456766003,NULL,NULL,NULL,1
2019-07-17,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765691,NULL,NULL,NULL,1
2019-07-17,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765722,NULL,NULL,NULL,1
2019-07-17,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765786,NULL,NULL,NULL,1
2019-07-17,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765797,NULL,NULL,NULL,1
2019-07-18,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456766029,NULL,NULL,NULL,1
2019-07-18,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456766071,NULL,NULL,NULL,1
