Event Date,App Apple ID,Subscription Name,Standard Subscription Duration,Promotional Offer Name,Promotional Offer ID,Subscription Offer Type,Subscription Offer Duration,Marketing Opt-In Duration,Customer Currency,Proceeds Currency,Device,Country,Subscriber ID,Subscriber ID Reset,Refund,Purchase Date,Units
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,IDR,IDR,iPhone,ID,223411322456765433,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,US,223411322456765434,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,INR,INR,iPhone,IN,223411322456765435,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765437,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,INR,INR,iPhone,IN,223411322456765438,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,CR,223411322456765439,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,THB,THB,iPhone,TH,223411322456765441,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TRY,TRY,iPhone,TR,223411322456765442,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TZS,TZS,iPhone,TZ,223411322456765443,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,QAR,QAR,iPhone,QA,223411322456765445,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765448,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,AED,AED,iPhone,AE,223411322456765449,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,US,223411322456765453,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,SAR,SAR,iPhone,SA,223411322456765454,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TRY,TRY,iPhone,TR,223411322456765455,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,EUR,EUR,iPhone,IT,223411322456765456,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TZS,TZS,iPhone,TZ,223411322456765457,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765458,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TZS,TZS,iPhone,TZ,223411322456765459,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,US,223411322456765460,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TRY,TRY,iPhone,TR,223411322456765461,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765462,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,SAR,SAR,iPhone,SA,223411322456765466,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,INR,INR,iPhone,IN,223411322456765468,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765469,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,SAR,SAR,iPhone,SA,223411322456765472,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,MN,223411322456765473,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,CHF,CHF,iPhone,CH,223411322456765474,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,HKD,HKD,iPhone,HK,223411322456765475,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,PKR,PKR,iPhone,PK,223411322456765477,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,USD,USD,iPhone,US,223411322456765478,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,PKR,PKR,iPhone,PK,223411322456765479,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,PKR,PKR,iPhone,PK,223411322456765480,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,VND,VND,iPhone,VN,223411322456765482,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,TRY,TRY,iPhone,TR,223411322456765483,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,INR,INR,iPhone,IN,223411322456765484,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765485,NULL,NULL,NULL,1
2019-07-15,1,weekly 9.99 + 7D trial,7 Days,NULL,NULL,Free Trial,7 Days,NULL,GBP,GBP,iPhone,GB,223411322456765487,NULL,NULL,NULL,1
