Subscriber ID,subscriptions,registration
223411322456765433,6,2019-08-19
223411322456765434,6,2019-08-19
223411322456765435,6,2019-08-19
223411322456765437,6,2019-08-19
223411322456765438,6,2019-08-19
223411322456765439,6,2019-08-19
223411322456765441,6,2019-08-19
223411322456765442,6,2019-08-19
223411322456765443,6,2019-08-19
223411322456765445,6,2019-08-19
223411322456765448,6,2019-08-19
223411322456765449,6,2019-08-19
223411322456765453,6,2019-08-19
223411322456765454,6,2019-08-19
223411322456765455,6,2019-08-19
223411322456765456,6,2019-08-19
223411322456765457,6,2019-08-19
223411322456765458,6,2019-08-19
223411322456765459,6,2019-08-19
223411322456765460,6,2019-08-19
223411322456765461,6,2019-08-19
223411322456765462,6,2019-08-19
223411322456765463,6,2019-08-19
223411322456765466,6,2019-08-19
223411322456765468,6,2019-08-19
223411322456765469,6,2019-08-19
223411322456765472,6,2019-08-19
223411322456765473,6,2019-08-19
223411322456765474,6,2019-08-19
223411322456765475,6,2019-08-19
223411322456765477,6,2019-08-19
223411322456765478,6,2019-08-19
223411322456765479,6,2019-08-19
223411322456765480,6,2019-08-19
223411322456765482,6,2019-08-19
223411322456765483,6,2019-08-19
223411322456765484,6,2019-08-19
223411322456765485,6,2019-08-19
223411322456765487,6,2019-08-19
223411322456765488,6,2019-08-19
223411322456765489,6,2019-08-19
223411322456765490,6,2019-08-19
223411322456765491,6,2019-08-19
223411322456765492,6,2019-08-19
223411322456765495,6,2019-08-19
223411322456765496,6,2019-08-19
223411322456765497,6,2019-08-19
223411322456765498,6,2019-08-19
223411322456765499,6,2019-08-19
223411322456765500,6,2019-08-19
223411322456765502,6,2019-08-19
223411322456765503,5,2019-08-12
223411322456765504,5,2019-08-12
223411322456765505,5,2019-08-12
223411322456765506,5,2019-08-12
223411322456765507,5,2019-08-12
223411322456765508,5,2019-08-12
223411322456765510,5,2019-08-12
223411322456765511,5,2019-08-12
223411322456765512,5,2019-08-12
223411322456765513,5,2019-08-12
223411322456765514,5,2019-08-12
223411322456765515,5,2019-08-12
223411322456765516,5,2019-08-12
223411322456765517,4,2019-08-05
223411322456765518,4,2019-08-05
223411322456765519,4,2019-08-05
223411322456765520,4,2019-08-05
223411322456765523,4,2019-08-05
223411322456765524,4,2019-08-05
223411322456765525,4,2019-08-05
223411322456765526,4,2019-08-05
223411322456765528,4,2019-08-05
223411322456765532,4,2019-08-05
223411322456765533,4,2019-08-05
223411322456765537,4,2019-08-05
223411322456765539,4,2019-08-05
223411322456765540,4,2019-08-05
223411322456765541,4,2019-08-05
223411322456765542,3,2019-07-29
223411322456765543,3,2019-07-29
223411322456765545,3,2019-07-29
223411322456765546,3,2019-07-29
223411322456765547,3,2019-07-29
223411322456765548,3,2019-07-29
223411322456765549,3,2019-07-29
223411322456765550,3,2019-07-29
